submissions,likes,dislikes,level,desc,options,corrAns,type,difficulty,isReviewed
0,0,0,11th,"How many 3-digit numbers can be formed from the digits 1, 2, 3, 4 and 5, assuming that Repetition of the digits is not allowed?","[""50"",""60"",""120"",""24""]",1,probability,easy,yes
0,0,0,11th,"How many 4-letter codes can be formed using the first 10 letters of the English alphabet, if no letter can be repeated?","[""1024"",""5040"",""4200"",""2048""]",1,probability,easy,yes
0,0,0,9th,"Which of the following expressions are polynomials in one variable, and which are not? State reasons for your answer.","[""4x2–3x+7"",""y2+√2"","" 3√t+t√2"","" y+2/y""]",3,Polynomial,easy,yes
0,0,0,12th,"Which of the following expressions are polynomials in one variable, and which are not? State reasons for your answer.","[""4x2–3x+7"",""y2+√2"","" 3√t+t√2"","" y+2/y""]",3,Polynomial,easy,yes
0,0,0,11th,"If any four numbers are selected, and they are multiplied, then the probability that the last digit will be 1, 3, 5 or 7 is ","[""1 / 5"",""24 / 625"",""16 / 625"",""2 / 5""]",2,probability,medium,yes
0,0,0,11th," In a box of 10 electric bulbs, two are defective. Two bulbs are selected at random one after the other from the box. The first bulb after selection is being put back in the box before making the second selection. The probability that both the bulbs are without defect is","[""1 / 25"",""16 / 25"",""24 / 25"",""7 / 25""]",1,probability,medium,yes
0,0,0,12th," In a box of 10 electric bulbs, two are defective. Two bulbs are selected at random one after the other from the box. The first bulb after selection is being put back in the box before making the second selection. The probability that both the bulbs are without defect is","[""1 / 25"",""16 / 25"",""24 / 25"",""7 / 25""]",1,probability,medium,yes
0,0,0,11th,"If set A has 3 elements and set B = {3, 4, 5}, then find the number of elements in (A × B).","[""10"",""12"",""15"",""9""]",3,sets,easy,yes
0,0,0,11th,"Let A = {1, 2, 3, … , 14}. Define a relation R from A to A by R = {(x, y): 3x – y = 0, where x, y ∈ A}. Write down its domain, codomain and range.","[""Domain of R = {1, 2, 3, 4} , Codomain of R = A = {1, 2, 3, …, 14} ,  Range of R = {3, 6, 9, 12}"",""Domain of R = {1, 2, 3, 4} , Codomain of R = A = {1, 2, 3, …, 14} ,  Range of R = {3, 6, 9}"",""Domain of R = {1, 2, 3, 4} , Codomain of R = A = {2, 3, …, 14} ,  Range of R = {3, 6, 9, 12}"",""Domain of R = {1, 2, 3} , Codomain of R = A = {1, 2, 3, …, 14} ,  Range of R = {3, 6, 9, 12}""]",0,sets,easy,yes
0,0,0,11th,"Let A = {x, y, z} and B = {1, 2}. Find the number of relations from A to B.","[""128"",""64"",""48"",""32""]",1,sets,easy,yes
0,0,0,11th,The function f : R → R defined by f (x) = ex is ,"[""one-one and into"",""one-one and onto"",""many-one"",""onto""]",0,relation,medium,yes
0,0,0,12th,The function f : R → R defined by f (x) = ex is ,"[""one-one and into"",""one-one and onto"",""many-one"",""onto""]",0,relation,medium,yes
0,0,0,11th,"Find the equation of the circle passing through the points (4,1) and (6,5) and whose centre is on the line 4x + y = 16.","[""x^2 + y^2 – 5x – 8y + 15 = 0"",""x^2 + y^2 – 8x – 6y + 15 = 0"",""x^2 + y^2 – 6x – 8y + 15 = 0"",""x^2 + y^2 – 6x – 8y + 10 = 0""]",2,conic section,medium,yes
0,0,0,9th,"A traffic signal board, indicating ‘SCHOOL AHEAD’, is an equilateral triangle with side ‘a’. Find the area of the signal board, using Heron’s formula. If its perimeter is 180 cm, what will be the area of the signal board?","[""900√3 cm2"",""700√3 cm2"",""800√3 cm2"",""90√3 cm2""]",0,Heron's formula,easy,yes
0,0,0,12th,"A traffic signal board, indicating ‘SCHOOL AHEAD’, is an equilateral triangle with side ‘a’. Find the area of the signal board, using Heron’s formula. If its perimeter is 180 cm, what will be the area of the signal board?","[""900√3 cm2"",""700√3 cm2"",""800√3 cm2"",""90√3 cm2""]",0,Heron's formula,easy,yes
0,0,0,11th,"The cable of a uniformly loaded suspension bridge hangs in the form of a parabola. The roadway which is horizontal and 100 m long is supported by vertical wires attached to the cable, the longest wire being 30 m and the shortest being 6 m. Find the length of a supporting wire attached to the roadway 18 m from the middle.","[""9m"",""9.11m"",""10m"",""10.2m""]",1,conic section,hard,yes
0,0,0,11th, An arch is in the form of a semi-ellipse. It is 8 m wide and 2 m high at the centre. Find the height of the arch at a point 1.5 m from one end.,"[""1.56m"",""1.40m"",""1.65m"",""1m""]",0,conic section,medium,yes
0,0,0,9th," The triangular side walls of a flyover have been used for advertisements. The sides of the walls are 122 m, 22 m and 120 m (see Fig. 12.9). The advertisements yield an earning of ₹5000 per m2 per year. A company hired one of its walls for 3 months. How much rent did it pay?","[""1650000 rs"",""16500000 rs"",""165000 rs"",""16500 rs""]",0,Heron's formula,easy,yes
0,0,0,11th,A man running a racecourse notes that the sum of the distances from the two flag posts from him is always 10 m and the distance between the flag posts is 8 m. Find the equation of the posts traced by the man.,"["" x^2/6 + y^2/25 = 1"","" x^2/25 - y^2/9 = 1"","" x^2/9 - y^2/25 = 1"","" x^2/25 + y^2/9 = 1""]",3,conic section,hard,yes
0,0,0,11th," find the equation of the circle with 1. Centre (0, 2) and radius 2","["" x^2 + y^2 – 4y = 0"","" x^2 + y^2 + 4y = 0"","" x^2 - y^2 – 4y = 0"","" x^2 - y^2 + 4y = 0""]",0,conic section,easy,yes
0,0,0,11th,"How many 3-digit even numbers can be made using the digits 1, 2, 3, 4, 6, 7, if no digit is repeated?","[""120"",""60"",""24"",""48""]",1,permutation and combination,easy,yes
0,0,0,11th,"How many words, with or without meaning, can be formed using all the letters of the word EQUATION, using each letter exactly once?","[""40320"",""12040"",""30240"",""50400""]",0,permutation and combination,easy,yes
0,0,0,9th,Find the area of a triangle two sides of which are 18 cm and 10 cm and the perimeter is 42cm.,"[""12√11 cm2"",""21√11 cm2"",""11√11 cm2"",""21√13 cm2""]",1,Heron's formula,easy,yes
0,0,0,11th,"The total number of positive integral solution for x, y, z such that x* y * z = 24, is","[""24"",""32"",""30"",""48""]",2,permutation and combination,medium,yes
0,0,0,10th,"The total number of positive integral solution for x, y, z such that x* y * z = 24, is","[""24"",""32"",""30"",""48""]",2,permutation and combination,medium,yes
0,0,0,11th,"Two numbers are chosen from 1, 3, 5, 7,… 147, 149 and 151 and multiplied together in all possible ways. The number of ways which will give the product a multiple of 5 is","[""1024"",""1020"",""1056"",""1048""]",1,permutation and combination,medium,yes
0,0,0,11th,"There are 3 sections in a question paper and each section contains 5 questions. A candidate has to answer a total of 5 questions, choosing at least one question from each section. Then the number of ways, in which the candidate can choose the questions, is:","[""1204"",""2200"",""2250"",""1024""]",2,permutation and combination,hard,yes
0,0,0,11th," Six cards and six envelopes are numbered 1, 2, 3, 4, 5, 6, and cards are to be placed in envelopes so that each envelope contains exactly one card and no card is placed in the envelope bearing the same number and moreover the card numbered 1 is always placed in envelope numbered 2. Then the number of ways it can be done is","[""48"",""36"",""64"",""53""]",3,permutation and combination,hard,yes
0,0,0,9th,"he length, breadth and height of a room are 5 m, 4 m and 3 m, respectively. Find the cost of whitewashing the walls of the room and ceiling at the rate of Rs 7.50 per m2","[""Rs. 50"",""Rs. 555"",""Rs. 476"",""Rs. 785""]",1,Mensuration,easy,yes
0,0,0,9th,"The diameter of a roller is 84 cm, and its length is 120 cm. It takes 500 complete revolutions to  move once over to level a playground. Find the area of the playground in m2 (Assume π = 22/7).","[""Rs 65.75"",""Rs 68.75"",""Rs 70.75"",""Rs 70""]",1,Mensuration,easy,yes
0,0,0,9th," Find the total surface area of a cone, if its slant height is 21 m and the diameter of its base is 24 m. (Assume π = 22/7)","[""1200.5m2"",""1689.48m2"",""1005.56m2"",""1244.57m2""]",3,Mensuration,easy,yes
0,0,0,10th,"In triangle ABC, if AB=BC and ∠B = 70°, ∠A will be:","[""70"",""110"",""55"","" 130°""]",2,Triangle,easy,yes
0,0,0,10th,"In triangle ABC, if AB=BC and ∠B = 70°, ∠A will be:","[""70"",""110"",""55"","" 130°""]",2,Triangle,easy,yes
0,0,0,10th,"In triangle ABC, if AB=BC and ∠B = 70°, ∠A will be:","[""70"",""110"",""55"","" 130°""]",2,Triangle,easy,yes
0,0,0,9th,"In triangle ABC, if AB=BC and ∠B = 70°, ∠A will be:","[""70"",""110"",""55"","" 130°""]",2,Triangle,easy,yes
0,0,0,9th," For two triangles, if two angles and the included side of one triangle are equal to two angles and the included side of another triangle. Then the congruency rule is:","[""SSS"","" ASA"",""SAS"",""None of the above""]",1,Triangle,easy,yes
0,0,0,9th,"ABC is an isosceles triangle in which altitudes BE and CF are drawn to equal sides AC and AB, respectively. Then:","[""BE > CF"","" BE < CF"",""BE = CF"",""None of the above""]",2,Triangle,easy,yes
